"id","external_id","property_id","unit_id","asset_id","workflow_item_id","category","description","priority","status","created_date","first_response_date","completed_date","sla_deadline_hours","sla_status","sla_response_delay_hours","is_system_generated","raw_data","import_batch_id","imported_at","updated_at","assigned_to","notes","region_name","property_name_raw","unit_number_raw","turn_id","scheduled_date","estimated_hours","actual_hours","stage","stage_status","days_in_stage","is_blocked","delay_reason","vendor","bottleneck_flag","bottleneck_type","aggregation_scope"
"36","WO-011","5",,,"521","Turn","Unit 111 stalled awaiting flooring completion","high","in_progress","""2026-03-15T00:00:00.000Z""",,,"24","missed","530.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Rochester Surface Pros"",""turn_id"":""TURN-011"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""True"",""assigned_to"":""Vendor Liaison"",""description"":""Unit 111 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""111"",""actual_hours"":""6"",""created_date"":""2026-03-15"",""delay_reason"":""Material backorder"",""stage_status"":""in_progress"",""days_in_stage"":""10"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-011"",""completed_date"":"""",""scheduled_date"":""2026-03-17"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.859Z""","""2026-04-07T02:14:06.859Z""","Vendor Liaison","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","111","TURN-011","""2026-03-17T00:00:00.000Z""","8","6","Flooring","in_progress","10","true","Material backorder","Rochester Surface Pros","true","stage_congestion","unit,property,regional"
"37","WO-012","5","667",,"522","Turn","Unit 112 stalled awaiting flooring completion","critical","in_progress","""2026-03-14T00:00:00.000Z""",,,"24","missed","554.24","false","{""notes"":""Stress-test bottleneck cluster at flooring stage"",""stage"":""Flooring"",""status"":""In Progress"",""vendor"":""Precision Floors"",""turn_id"":""TURN-012"",""category"":""Turn"",""priority"":""Critical"",""is_blocked"":""True"",""assigned_to"":""Vendor Liaison"",""description"":""Unit 112 stalled awaiting flooring completion"",""region_name"":""North Region"",""unit_number"":""112"",""actual_hours"":""4"",""created_date"":""2026-03-14"",""delay_reason"":""Vendor scheduling delay"",""stage_status"":""in_progress"",""days_in_stage"":""12"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-012"",""completed_date"":"""",""scheduled_date"":""2026-03-16"",""bottleneck_flag"":""True"",""bottleneck_type"":""stage_congestion"",""estimated_hours"":""8"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.873Z""","""2026-04-07T02:14:06.873Z""","Vendor Liaison","Stress-test bottleneck cluster at flooring stage","North Region","Stonewood Village","112","TURN-012","""2026-03-16T00:00:00.000Z""","8","4","Flooring","in_progress","12","true","Vendor scheduling delay","Precision Floors","true","stage_congestion","unit,property,regional"
"38","WO-013","5","477",,"523","Turn","Routine turn progression for unit 113","high","completed","""2026-03-28T00:00:00.000Z""",,"""2026-04-04T00:00:00.000Z""","24","missed","218.24","false","{""notes"":""Baseline comparison row"",""stage"":""Trash Out"",""status"":""Completed"",""vendor"":""Internal Turn Crew"",""turn_id"":""TURN-013"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""False"",""assigned_to"":""Tech Alex"",""description"":""Routine turn progression for unit 113"",""region_name"":""North Region"",""unit_number"":""113"",""actual_hours"":""1"",""created_date"":""2026-03-28"",""delay_reason"":"""",""stage_status"":""completed"",""days_in_stage"":""0"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-013"",""completed_date"":""2026-04-04"",""scheduled_date"":""2026-04-03"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""6"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.887Z""","""2026-04-07T02:14:06.887Z""","Tech Alex","Baseline comparison row","North Region","Stonewood Village","113","TURN-013","""2026-04-03T00:00:00.000Z""","6","1","Trash Out","completed","0","false",,"Internal Turn Crew","false","none","unit,property,regional"
"39","WO-014","5",,,"524","Appliance","Routine turn progression for unit 114","high","in_progress","""2026-04-03T00:00:00.000Z""",,,"24","missed","74.24","false","{""notes"":""Baseline comparison row"",""stage"":""Maintenance"",""status"":""In Progress"",""vendor"":""Internal Maintenance"",""turn_id"":""TURN-014"",""category"":""Appliance"",""priority"":""High"",""is_blocked"":""False"",""assigned_to"":""Tech Mike"",""description"":""Routine turn progression for unit 114"",""region_name"":""North Region"",""unit_number"":""114"",""actual_hours"":""4"",""created_date"":""2026-04-03"",""delay_reason"":"""",""stage_status"":""in_progress"",""days_in_stage"":""2"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-014"",""completed_date"":"""",""scheduled_date"":""2026-03-30"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""6"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.903Z""","""2026-04-07T02:14:06.903Z""","Tech Mike","Baseline comparison row","North Region","Stonewood Village","114","TURN-014","""2026-03-30T00:00:00.000Z""","6","4","Maintenance","in_progress","2","false",,"Internal Maintenance","false","none","unit,property,regional"
"40","WO-015","5","462",,"525","Turn","Routine turn progression for unit 115","high","completed","""2026-04-03T00:00:00.000Z""",,"""2026-04-03T00:00:00.000Z""","24","missed","74.24","false","{""notes"":""Baseline comparison row"",""stage"":""Paint"",""status"":""Completed"",""vendor"":""Fresh Coat Contractors"",""turn_id"":""TURN-015"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""False"",""assigned_to"":""Tech Mike"",""description"":""Routine turn progression for unit 115"",""region_name"":""North Region"",""unit_number"":""115"",""actual_hours"":""6"",""created_date"":""2026-04-03"",""delay_reason"":"""",""stage_status"":""completed"",""days_in_stage"":""0"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-015"",""completed_date"":""2026-04-03"",""scheduled_date"":""2026-04-03"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""5"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.917Z""","""2026-04-07T02:14:06.917Z""","Tech Mike","Baseline comparison row","North Region","Stonewood Village","115","TURN-015","""2026-04-03T00:00:00.000Z""","5","6","Paint","completed","0","false",,"Fresh Coat Contractors","false","none","unit,property,regional"
"41","WO-016","5",,,"526","Turn","Routine turn progression for unit 116","high","completed","""2026-03-29T00:00:00.000Z""",,"""2026-04-02T00:00:00.000Z""","24","missed","194.24","false","{""notes"":""Baseline comparison row"",""stage"":""Paint"",""status"":""Completed"",""vendor"":""Fresh Coat Contractors"",""turn_id"":""TURN-016"",""category"":""Turn"",""priority"":""High"",""is_blocked"":""False"",""assigned_to"":""Tech Alex"",""description"":""Routine turn progression for unit 116"",""region_name"":""North Region"",""unit_number"":""116"",""actual_hours"":""1"",""created_date"":""2026-03-29"",""delay_reason"":"""",""stage_status"":""completed"",""days_in_stage"":""3"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-016"",""completed_date"":""2026-04-02"",""scheduled_date"":""2026-03-31"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""4"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.933Z""","""2026-04-07T02:14:06.933Z""","Tech Alex","Baseline comparison row","North Region","Stonewood Village","116","TURN-016","""2026-03-31T00:00:00.000Z""","4","1","Paint","completed","3","false",,"Fresh Coat Contractors","false","none","unit,property,regional"
"42","WO-017","5","517",,"527","Appliance","Routine turn progression for unit 117","medium","completed","""2026-03-31T00:00:00.000Z""",,"""2026-04-06T00:00:00.000Z""","24","missed","146.24","false","{""notes"":""Baseline comparison row"",""stage"":""Maintenance"",""status"":""Completed"",""vendor"":""Internal Maintenance"",""turn_id"":""TURN-017"",""category"":""Appliance"",""priority"":""Medium"",""is_blocked"":""False"",""assigned_to"":""Tech Sara"",""description"":""Routine turn progression for unit 117"",""region_name"":""North Region"",""unit_number"":""117"",""actual_hours"":""4"",""created_date"":""2026-03-31"",""delay_reason"":"""",""stage_status"":""completed"",""days_in_stage"":""3"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-017"",""completed_date"":""2026-04-06"",""scheduled_date"":""2026-04-04"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""3"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.949Z""","""2026-04-07T02:14:06.949Z""","Tech Sara","Baseline comparison row","North Region","Stonewood Village","117","TURN-017","""2026-04-04T00:00:00.000Z""","3","4","Maintenance","completed","3","false",,"Internal Maintenance","false","none","unit,property,regional"
"43","WO-018","5",,,"528","Appliance","Routine turn progression for unit 118","high","submitted","""2026-03-29T00:00:00.000Z""",,,"24","missed","194.24","false","{""notes"":""Baseline comparison row"",""stage"":""Trash Out"",""status"":""Open"",""vendor"":""Internal Turn Crew"",""turn_id"":""TURN-018"",""category"":""Appliance"",""priority"":""High"",""is_blocked"":""False"",""assigned_to"":""Tech Sara"",""description"":""Routine turn progression for unit 118"",""region_name"":""North Region"",""unit_number"":""118"",""actual_hours"":""2"",""created_date"":""2026-03-29"",""delay_reason"":"""",""stage_status"":""completed"",""days_in_stage"":""3"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-018"",""completed_date"":"""",""scheduled_date"":""2026-03-30"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""6"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.965Z""","""2026-04-07T02:14:06.965Z""","Tech Sara","Baseline comparison row","North Region","Stonewood Village","118","TURN-018","""2026-03-30T00:00:00.000Z""","6","2","Trash Out","completed","3","false",,"Internal Turn Crew","false","none","unit,property,regional"
"44","WO-019","5","814",,"529","General","Routine turn progression for unit 119","medium","submitted","""2026-04-01T00:00:00.000Z""",,,"24","missed","122.24","false","{""notes"":""Baseline comparison row"",""stage"":""Cleaning"",""status"":""Open"",""vendor"":""Internal Cleaning Crew"",""turn_id"":""TURN-019"",""category"":""General"",""priority"":""Medium"",""is_blocked"":""False"",""assigned_to"":""Tech Sara"",""description"":""Routine turn progression for unit 119"",""region_name"":""North Region"",""unit_number"":""119"",""actual_hours"":""0"",""created_date"":""2026-04-01"",""delay_reason"":"""",""stage_status"":""in_progress"",""days_in_stage"":""3"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-019"",""completed_date"":"""",""scheduled_date"":""2026-03-31"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""3"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.977Z""","""2026-04-07T02:14:06.977Z""","Tech Sara","Baseline comparison row","North Region","Stonewood Village","119","TURN-019","""2026-03-31T00:00:00.000Z""","3","0","Cleaning","in_progress","3","false",,"Internal Cleaning Crew","false","none","unit,property,regional"
"45","WO-020","5","130",,"530","General","Routine turn progression for unit 120","high","in_progress","""2026-03-30T00:00:00.000Z""",,,"24","missed","170.24","false","{""notes"":""Baseline comparison row"",""stage"":""Paint"",""status"":""In Progress"",""vendor"":""Fresh Coat Contractors"",""turn_id"":""TURN-020"",""category"":""General"",""priority"":""High"",""is_blocked"":""False"",""assigned_to"":""Team B"",""description"":""Routine turn progression for unit 120"",""region_name"":""North Region"",""unit_number"":""120"",""actual_hours"":""2"",""created_date"":""2026-03-30"",""delay_reason"":"""",""stage_status"":""in_progress"",""days_in_stage"":""1"",""property_name"":""Stonewood Village"",""work_order_id"":""WO-020"",""completed_date"":"""",""scheduled_date"":""2026-04-01"",""bottleneck_flag"":""False"",""bottleneck_type"":""none"",""estimated_hours"":""6"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:06.990Z""","""2026-04-07T02:14:06.990Z""","Team B","Baseline comparison row","North Region","Stonewood Village","120","TURN-020","""2026-04-01T00:00:00.000Z""","6","2","Paint","in_progress","1","false",,"Fresh Coat Contractors","false","none","unit,property,regional"
"46","WO-021","8",,,"531","Plumbing","Plumbing repair backlog holding turn progress in unit 201","critical","in_progress","""2026-03-29T00:00:00.000Z""",,,"24","missed","194.24","false","{""notes"":""Stress-test maintenance bottleneck"",""stage"":""Maintenance"",""status"":""In Progress"",""vendor"":""Internal Maintenance"",""turn_id"":""TURN-021"",""category"":""Plumbing"",""priority"":""Critical"",""is_blocked"":""True"",""assigned_to"":""Tech Alex"",""description"":""Plumbing repair backlog holding turn progress in unit 201"",""region_name"":""North Region"",""unit_number"":""201"",""actual_hours"":""4"",""created_date"":""2026-03-29"",""delay_reason"":""Awaiting follow-up diagnosis"",""stage_status"":""in_progress"",""days_in_stage"":""8"",""property_name"":""Cedars of Chili"",""work_order_id"":""WO-021"",""completed_date"":"""",""scheduled_date"":""2026-03-30"",""bottleneck_flag"":""True"",""bottleneck_type"":""blocked_gate_stage"",""estimated_hours"":""7"",""aggregation_scope"":""unit,property,regional""}","a09e88e2-c6e6-4475-8be8-d3c54ebc8ef6","""2026-04-07T02:14:07.005Z""","""2026-04-07T02:14:07.005Z""","Tech Alex","Stress-test maintenance bottleneck","North Region","Cedars of Chili","201","TURN-021","""2026-03-30T00:00:00.000Z""","7","4","Maintenance","in_progress","8","true","Awaiting follow-up diagnosis","Internal Maintenance","true","blocked_gate_stage","unit,property,regional"
